Bill_no.,Status
"('Supplemental appropriation from State Fund, General Revenue to Division of Forestry',)"
"('Permitting and establishing requirements for appearance by video for purpose of notarial acts',)"
"('Limiting release of certain personal information maintained by state agencies',)"
"('Updating firefighter training requirements',)"
"('Updating criteria for regulating certain occupations and professions',)"
"('Permitting primitive camping at state campgrounds',)"
"('Exempting DOH from Purchasing Division procedures',)"
"('Dedicating certain fees collected by Division of Labor to General Revenue Fund',)"
"('Requiring hospitals to staff qualified personnel to perform sexual assault forensic exams',)"
"(""Creating WV Children's Vision Act"",)"
"('Permitting use of established federal marketplace programs to purchase supplies',)"
"('Relating to WV veterans service decoration and WV Service Cross',)"
"('Creating State Employment First Policy for wages of disabled persons',)"
"('Increasing penalty for impersonating law-enforcement officer or official',)"
"('Restricting participation in Teachers Retirement System by members who serve as officer in professional teaching association',)"
"('Allowing oaths be taken before any person authorized to administer oaths',)"
"('Adding stalking to list of offenses for certain misconduct',)"
"('Relating to use or presentation of firearm during commission of felony',)"
"('Relating to powers and duties of Chief Technology Officer',)"
"('Updating Division of Purchasing procurement and spending thresholds',)"
"(""Relating to distributing hotel occupancy tax to convention and visitor's bureaus"",)"
"('Returning refundable exemption for sales of construction materials by second party for DOH projects',)"
"('Supplemental appropriation from General Revenue to Department of Veterans’ Assistance',)"
"('Relating to interest rate in condemnation proceedings',)"
"('Establishing program for bonding to reclaim abandoned wind and solar generation facilities',)"
"('Issuing license suspensions to insurance producers and adjusters who fail to meet CE requirements',)"
"('Authorizing transfer of moneys from Insurance Commission Fund to Workers’ Compensation Old Fund',)"
"('Providing criminal offense of sexual extortion and sexual extortion by person holding certain position over another',)"
"('Relating to punishment for second or third degree felony',)"
"('Increasing penalty for attempted murder in first degree',)"
"('Amending definition of ""sexual contact""',)"
"('Relating to parole eligibility for drug distribution offenses',)"
"('Prohibiting intimidation and retaliation against public officers and employees, jurors, and witnesses',)"
"('Continuing and indexing of license and stamp fees',)"
"('Providing lifetime hunting, fishing, and trapping license to residents, adopted, and foster children under 15',)"
"('Creating crime for being under influence of controlled substance unless specifically prescribed',)"
"('Relating to review of presidential executive orders by Legislature',)"
"('Establishing Office of Regulatory and Fiscal Affairs under Joint Committee on Government and Finance',)"
"('Requiring certain persons who commit criminal offense while in juvenile custody not be held within sight or sound of adult inmates',)"
"('Facilitating Business Rapid Response to State Declared Disasters Act of 2021',)"
"('Relating to public records management and preservation',)"
"('Removing requirement that determination of medical stability be found prior to admission to mental health facility',)"
"('Extending Adopt-a-Trail programs for unimproved public roads',)"
"('Preventing compensatory damage awards for medical expenses under certain circumstances',)"
"('Relating to filing of asbestos and silica claims',)"
"('Relating generally to natural resources and modifying definitions of certain terms',)"
"('Providing criteria for Natural Resource Commission appointment and compensation',)"
"('Providing new graduates of in-state or out-of-state higher educational institution or trade school income tax modification for up to four years',)"
"('Relating to PEIA in-patient rates',)"
"('Relating to sunset provisions of legislative rules',)"
"('Relating to grounds for administrative dissolution of certain companies, corporations, and partnerships',)"
"('Prohibiting political subdivisions from enacting means of regulating certain areas of employer-employee relationship and sale or marketing of consumer merchandise',)"
"('Allowing foster parents to purchase lifetime hunting, trapping, and fishing licenses for foster children',)"
"('Extending licensure renewal term of certain private investigators, security guards, and associated firms',)"
"('Supplemental appropriation from Treasury to Department of Commerce',)"
"('Correcting improper code references',)"
"('Correcting amount of current 911 fee ',)"
"('Establishing secondary location for racetrack video lottery terminals',)"
"('Creating Uniform Worker Classification Act',)"
"('Prohibiting political subdivisions from enacting certain ordinances, regulations, local policies, or other legal requirements',)"
"('Allowing counties to implement one percent consumers sales tax in certain circumstances',)"
"('Correcting improper citation relating to DMV registration',)"
"('Establishing causes for revocation, cancellation, or suspension of business registration certificate',)"
"('Relating to incomplete, duplicative, or redundant claims for refund',)"
"('Limiting claims for state tax credits and rebates',)"
"('Allowing limits of business and occupation taxes imposed on sale of automobiles',)"
