Bill_no.,Status,Doc_name,Doc _url
SB 162,Pending,Division of Financial Institutions rule relating to Fintech Regulatory Sandbox Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB162 INTR.pdf
SB 163,Pending,Insurance Commissioner rule relating to fingerprinting requirements for applicants for insurance producer and insurance adjuster license,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB163 INTR.pdf
SB 164,Pending,Insurance Commissioner rule relating to insurance adjusters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB164 INTR.pdf
SB 165,Pending, Insurance Commissioner rule relating to credit for reinsurance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB165 INTR.pdf
SB 166,Pending,Insurance Commissioner rule relating to continuing education for individual insurance producers and individual insurance adjusters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB166 INTR.pdf
SB 167,Pending,Insurance Commissioner rule relating to mental health parity,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB167 INTR.pdf
SB 168,Pending,Insurance Commissioner rule relating to health benefit plan network access and adequacy,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB168 INTR.pdf
SB 169,Pending,Municipal Pensions Oversight Board rule relating to exempt purchasing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB169 INTR.pdf
SB 170,Pending,Racing Commission rule relating to thoroughbred racing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB170 INTR.pdf
SB 171,Pending,Racing Commission rule relating to greyhound racing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB171 INTR.pdf
SB 172,Pending,Racing Commission rule relating to advance deposit account wagering,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB172 INTR.pdf
SB 173,Pending,Lottery Commission rule relating to WV lottery interactive wagering rule,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB173 INTR.pdf
SB 174,Pending,State Tax Department rule relating to tax credit for providing vehicles to low-income workers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB174 INTR.pdf
SB 175,Pending,State Tax Department rule relating to downstream natural gas manufacturing investment tax credit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB175 INTR.pdf
SB 176,Pending,State Tax Department rule relating to high-wage growth business tax credit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB176 INTR.pdf
SB 177,Pending,DOH rule relating to traffic and safety rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB177 INTR.pdf
SB 178,Pending,"(""DMV rule relating to examination and issuance of driver's license"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB178 INTR.pdf
SB 179,Pending,"DMV rule relating to denial, suspension, revocation, disqualification, restriction, non-renewal, cancellation, administrative appeals, and reinstatement of driving privileges",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB179 INTR.pdf
SB 180,Pending,DMV rule relating to compulsory motor vehicle liability insurance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB180 INTR.pdf
SB 181,Pending,DMV rule relating to special purpose vehicles,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB181 INTR.pdf
SB 182,Signed,Authorizing miscellaneous agencies and boards to promulgate legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB182 SUB1 ENR.pdf
SB 183,Pending,Commissioner of Agriculture rule relating to WV Seed Law,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB183 INTR.pdf
SB 184,Pending,Commissioner of Agriculture rule relating to inspection of meat and poultry,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB184 INTR.pdf
SB 185,Pending,Commissioner of Agriculture rule relating to poultry litter and manure movement into primary poultry breeder rearing areas,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB185 INTR.pdf
SB 186,Pending,Commissioner of Agriculture rule relating to seed certification program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB186 INTR.pdf
SB 187,Pending,Commissioner of Agriculture rule relating to WV exempted dairy farms and milk and milk products processing rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB187 INTR.pdf
SB 188,Pending,Auditor rule relating to standards for requisitions for payment issued by State Officers on Auditor,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB188 INTR.pdf
SB 189,Pending,"Board of Funeral Service Examiners rule relating to funeral director, embalmer, apprentice, courtesy card holders, and funeral establishment requirements",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB189 INTR.pdf
SB 190,Pending,Board of Funeral Service Examiners rule relating to crematory requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB190 INTR.pdf
SB 191,Pending,Board of Funeral Service Examiners rule relating to fee schedule,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB191 INTR.pdf
SB 192,Pending,Board of Hearing Aid Dealers rule relating to rule governing the West Virginia Board of Hearing Aid Dealers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB192 INTR.pdf
SB 193,Pending,Board of Landscape Architects rule relating to registration of landscape architects,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB193 INTR.pdf
SB 194,Pending,Board of Landscape Architects rule relating to application for waiver of initial licensing fees for certain individuals,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB194 INTR.pdf
SB 195,Pending,Livestock Care Standards Board rule relating to livestock care standards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB195 INTR.pdf
SB 196,Pending,Board of Medicine rule relating to registration to practice during declared state of emergency,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB196 INTR.pdf
SB 197,Pending,"Board of Occupational Therapy rule relating to telehealth practice; requirements, definitions",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB197 INTR.pdf
SB 198,Pending,Board of Osteopathic Medicine rule relating to licensing procedures for osteopathic physicians,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB198 INTR.pdf
SB 199,Pending,Board of Osteopathic Medicine rule relating to emergency temporary permits to practice during states of emergency or states of preparedness,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB199 INTR.pdf
SB 200,Pending,Board of Pharmacy rule relating to licensure and practice of pharmacy,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB200 INTR.pdf
SB 201,Pending,Board of Pharmacy rule relating to Uniform Controlled Substances Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB201 INTR.pdf
SB 202,Pending,Board of Pharmacy rule relating to Board of Pharmacy rules for continuing education for licensure of pharmacists,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB202 INTR.pdf
SB 203,Pending,"Board of Pharmacy rule relating to licensure of wholesale drug distributors, third-party logistics providers, and manufacturers",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB203 INTR.pdf
SB 204,Pending,Board of Pharmacy rule relating to controlled substances monitoring program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB204 INTR.pdf
SB 205,Pending,Board of Pharmacy rule relating to board of pharmacy rules for immunizations administered by pharmacists and pharmacy interns,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB205 INTR.pdf
SB 206,Pending,Board of Physical Therapy rule relating to general provisions for physical therapist and physical therapist assistants,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB206 INTR.pdf
SB 207,Pending,Board of Physical Therapy rule relating to fees for physical therapist and physical therapist assistants,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB207 INTR.pdf
SB 208,Pending,Board of Physical Therapy rule relating to general provisions for athletic trainers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB208 INTR.pdf
SB 209,Pending,Board of Physical Therapy rule relating to fees for athletic trainers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB209 INTR.pdf
SB 210,Pending,Board of Professional Surveyors rule relating to examination and licensing of professional surveyors in WV,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB210 INTR.pdf
SB 211,Pending,"Real Estate Commission rule relating to licensing real estate brokers, associate brokers, and salespersons and conduct of brokerage business",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB211 INTR.pdf
SB 212,Pending,Board of Respiratory Care rule relating to criteria for licensure,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB212 INTR.pdf
SB 213,Pending,"Secretary of State rule relating to loan and grant programs under the Help America Vote Act for purchase of voting equipment, election systems, software, services, and upgrades",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB213 INTR.pdf
SB 214,Pending,Secretary of State rule relating to guidelines and standards for electronic notarization,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB214 INTR.pdf
SB 215,Pending,Bureau of Senior Services rule relating to shared table initiative for senior citizens,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB215 INTR.pdf
SB 216,Signed,Authorizing Department of Commerce to promulgate legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB216 SUB1 ENR.pdf
SB 217,Pending,Division of Labor rule relating to high pressure steam boiler and forced flow steam generator requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB217 INTR.pdf
SB 218,Pending,"(""Office of Miners' Health, Safety, and Training rule relating to rule governing submission and approval of comprehensive mine safety program for coal mining operations in WV."",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB218 INTR.pdf
SB 219,Pending,Division of Natural Resources rule relating to Cabwaylingo State Forest trail system two-year pilot program permitting ATVs and ORVs,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB219 INTR.pdf
SB 220,Pending,DNR rule relating to defining terms used in all hunting and trapping,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB220 INTR.pdf
SB 221,Pending,DNR rule relating to deer hunting rule,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB221 INTR.pdf
SB 222,Pending,DNR rule relating to special migratory game bird hunting,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB222 INTR.pdf
SB 223,Pending,DNR rule relating to special waterfowl hunting,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB223 INTR.pdf
SB 224,Pending,Creating Emergency Medical Services Personnel Loan Forgiveness Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB224 INTR.pdf
SB 225,Pending,Creating tax credit for persons who successfully complete firearms safety course,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB225 INTR.pdf
SB 226,Pending,Authorizing transfer of accrued personal leave of former county board of education employee when subsequently employed by state agency,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB226 INTR.pdf
SB 227,Pending,Creating position of homeless education coordinator in certain counties,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB227 INTR.pdf
SB 228,Pending,"(""Supplemental appropriation from State Excess Lottery Revenue Fund to Department of Veterans' Assistance, Veterans' Home Fund"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB228 INTR.pdf
SB 229,Pending,Implementing system for ranked choice voting for election of justices to WV Supreme Court of Appeals,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB229 INTR.pdf
SB 230,Pending,Prohibiting civil rights violations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB230 INTR.pdf
SB 231,Pending,Relating generally to medical cannabis,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB231 SUB1 ENG.pdf
SB 232,Pending,Establishing Stay in State tax credit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB232 INTR.pdf
SB 233,Pending,Relating to insurance coverage for insulin,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB233 INTR.pdf
SB 234,Pending,Ensuring coverage for residents with preexisting conditions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB234 INTR.pdf
SB 235,Pending,Middle School Technical Education Program Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB235 INTR.pdf
SB 236,Pending,"Adding certain cancers as rebuttable presumption for injuries, diseases for professional firefighters",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB236 INTR.pdf
SB 237,Pending,Implementing trauma-informed practices in schools,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB237 INTR.pdf
SB 238,Pending,Expanding early childhood education programs to three-year-old children,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB238 INTR.pdf
SB 239,Pending,Establishing vocational-technical programs in middle schools,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB239 INTR.pdf
SB 240,Pending,Allowing workers’ compensation benefits for first responders diagnosed with PTSD,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB240 INTR.pdf
SB 241,Pending,"Providing tax credit to new graduates of in-state or out-of-state higher educational institution, community or technical college, or trade school",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB241 INTR.pdf
SB 242,Pending,Establishing Promise for All Scholarship Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB242 INTR.pdf
SB 243,Pending,Prohibiting charging fee for parking in accessible parking space bearing international symbol of access,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB243 INTR.pdf
SB 244,Pending,"Making it unlawful for public utility to prohibit customers from hiring contractors to construct, install, or maintain connections to public utility",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB244 SUB1 ENG.pdf
SB 245,Pending,Providing 11-month window to allow PERS members to purchase credited service,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB245 INTR.pdf
SB 246,Pending,"Allowing licensed employees, staff, and students of public universities to carry concealed weapon",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB246 INTR.pdf
SB 247,Pending,Authorizing Commissioner of Highways to designate road as historic route,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB247 INTR.pdf
SB 248,Pending,Requiring DHHR collaborate with Workforce Development Board and WV Division of Personnel for purposes of job placement,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB248 INTR.pdf
SB 249,Pending,Creating Health Care Choice Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB249 INTR.pdf
SB 250,Pending,Prohibiting abuser of child from making contact with victim for 10 years,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB250 INTR.pdf
SB 251,Pending,Creating Living Infants Fairness and Equality Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB251 INTR.pdf
SB 252,Pending,Relating to unlawful discriminatory practices covered by Human Rights Act and Fair Housing Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB252 INTR.pdf
SB 253,Pending,Implementing Business PROMISE+ Scholarship,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB253 INTR.pdf
SB 254,Pending,Adding definitions of “sexual orientation” and “gender identity” to categories covered by Human Rights Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB254 INTR.pdf
SB 255,Pending,Relating to wholesale importation of prescription drugs,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB255 INTR.pdf
